Establishment,Manager,Status,Rooms,Beds,Address,Island,Tel,Email,License Type
340 Degrees Mountain View,RICHEMOND Robin (Mr),Operational,6,12,Anse a la Mouche,Mahe,4242590/2517114/2511119,340mountainview@gmail.com,Self Catering
360 Degrees Villa,GERTRUDE Daphne (Mrs),Operational,2,4,Bel Ombre,Mahe,2781546,360gertrude@gmail.com,Self Catering
88 Days Self Catering,ROUCOU Francis (Mr),Operational,2,4,Anse a La Mouche,Mahe,2503616/2718865/2572136,f_roucou@yahoo.com; 88days@seychelles.net,Self Catering
A & D Holiday Home Self catering,ATHANASE Daniel (Mr),Operational,3,6,Baie Ste Anne,Praslin,2593269/2598664/ 2593269,athanase.daniel@yahoo.com,Self Catering
A Peace in Paradise Villa (Ex Brise De Mer Villa),POOL Bernardette Erade (Miss),Operational,2,4,Anse la Mouche,Mahe,2631351,erade34@hotmail.com,Guesthouse
Acajou Hotel,DOWAY Joanese (Mrs),Operational,52,104,Cote Dor,Praslin,4385300/2510997,acajou@seychelles.net,Large Hotel
Acquario Praslin,PHILOE Nora (Mrs),Operational,6,12,Anse Petit Cours,Praslin,4232095,marevita@seychelles.net,Self Catering
Agnes Cottage,PIERRE Agnes (Mrs),Operational,4,8,Anse Reunion,La Digue,2781218/2716642,agnescottage@gmail.com,Self Catering
Alha Villa,MONTHY Pascalina (Ms),Operational,6,12,Anse a La Mouche,Mahe,2510901/2513345/2501247,alhavilla@outlook.com,Self Catering
Alphonse,Island Development Company,Operational,2,4,P.O Box 638,Alphonse,4384640/4224467,val@idc.sc; christiane@idc.sc,Guesthouse
Alphonse Island Resort,MITCHELL Scott (Mr),Operational,27,54,Alphonse,Alphonse,4229030,scott@alphonse-island.com,Small Hotel
Alpina Lodge,BERLOUIS Cecile (Mrs),Operational,1,2,Le Niol,Mahe,2522010,patccile@seychelles.net,Self Catering
Amanda Villa,SUN HUA Margaret (Mrs),Operational,8,16,Au Cap,Mahe,2524388,margaretsunhua@gmail.com;amandavillasey@hotmail.com,Guesthouse
Ambiance Villa,HOAREAU Frank (Mr),Operational,3,6,Anse Reunion,La Digue,2521445,Frank.Hoareau62@gmail.com,Self Catering
Amitie Chalets,CONFAIT August (Mr),Operational,4,8,Amitie,Praslin,4233216,martin@seychelles.net; amitiechalets@seychelles.net,Guesthouse
Anantara Maia Seychelles,FERRARI Lionel (Mr),Operational,30,60,P.O Box 722,Mahe,4390000 /4390301,lferrari@anantara.com,Medium Hotel
Angel Fish Villas LTD,LADOUCOEUR Aecha (Ms),Operational,3,6,Anse La Mouche,Mahe,4345001/2605010,info@angelfish-selfcatering.com,Self Catering
Anonyme Island,SAHYOUN Hanna (Mr),Operational,7,14,Anonyme Island,Anonime,4380100/2520224/2810490,office@anonymeisland.com; john@anonymeisland.com,Small Hotel
Anse Kerlan Beach Chalets,"PASCALE Adeline, Berty (Mr)",Operational,2,4,Anse Kerlans,Praslin,4233593/ 2581004,info@ansekerlanbeachchalets.com,Self Catering
Anse La Mouche Holiday Apartment,KILINDO Rowdy (Mr),Operational,10,20,Anse a La Mouche,Mahe,2515805,apartments@anselamouche.com,Self Catering
Anse Lazio Lodge,VERLAQUE Richelieu (Mr),Operational,3,6,Anse Lazio,Praslin,2510688,,Self Catering
Anse Norwa Self Catering,HOAREAU Teddy & Lisette (Mr & Mrs),Operational,3,6,Beau Vallon,Mahe,4261222/251198,diverslodge@seychelles.net,Self Catering
Anse Royale Bayview Apartments,BARBIER Ted (Mr),Operational,5,10,Anse Royale,Mahe,4378354/2597460,tbarbier@gmail.com,Self Catering
Anse Severe Beach Villa,WAYE HIVE Alam (Mr),Operational,3,6,Anse Severe La Digue,La Digue,4235009/ 2514047,ansesevere@seychelles.net,Self Catering
Anse Severe Bungalows,DE COMMARMOND Odette (Mrs),Operational,2,4,Anse Severe,La Digue,4247354/2594977/2576758,clemco@seychelles.net,Self Catering
Anse Soleil Beachcomber,"ALBERT Maurice, Joseph, George (Dr)",Operational,14,28,Anse Soleil,Mahe,4361461,reservations@ansesoleilbeachcomber.com,Guesthouse
Anse Soleil Beachcomber Self Catering Chalets,ALBERT Alison (Mrs),Operational,4,8,Anse Soleil,Mahe,4361461/ 4361460/2611469,gm@ansesoleilbeachcomber.com,Self Catering
Anse Soleil Resort,ESPARONS Paula (Mrs),Operational,4,8,Anse Soleil,Mahe,4361090/2535119,soleil@seychelles.net,Self Catering
Anse Takamaka View,BECKER Roland (Mr),Operational,6,12,Anse Takamaka,Mahe,2510007,roland@seychelles.net,Self Catering
Anum Cara Self Catering,MCALISTER Sabrina (Mrs),Operational,2,4,Anse Aux Pins,Mahe,2587596/ 4321388,rosycosy111@gmail.com,Self Catering
ANV Holiday Apartments,VIDOT Andrew & Nathalie (Mr & Mrs),Operational,2,4,Grand Anse,Praslin,2513321/2511686,info@anvholiday.com,Self Catering
Aqua Boutique Hotel,ALBERT Gregory (Mr),Operational,9,18,North East Point,Mahe,2516762/4249000,info@aqua.sc; gm@aqua.sc,Self Catering
Aquablu Villa,CUMMINGS Kevin Etienne (Mr),Operational,4,8,Glacis,Mahe,2593835,sorentohouse1@gmail.com,Self Catering
Aquamarine Luxury Accommodation,ANTAT Julia (Mrs),Operational,1,2,Eden Island,Mahe,2515202,juliaantat@gmail.com,Self Catering
Armony Residence,HOTI Celine (Mrs),Operational,2,4,Belle Vue,Mahe,2513165/ 4345157,armony.hoti@gmail.com,Self Catering
Astove,Island Development Company,Operational,6,12,P.O Box 638,Astove,4384640/4224467,val@idc.sc; christiane@idc.sc,Guesthouse
Atala Accommodation,BERTOLETTI Luca (Mr),Operational,1,2,Eden Island,Mahe,2515202,julia.antat@gmail.com,Self Catering
Au Cap Self Catering,VEL Robin (Mr),Operational,2,4,Au Cap,Mahe,2510169/2578539,rvel@seychelles.net,Self Catering
Au Fond de Mer View,BONIFACE Solana (Miss),Operational,6,12,Anse Royale,Mahe,2526945/ 2512377/ 4372120,solanaboniface@gmail.com; reservations@aufonddemerview.com,Self Catering
Auberge d'Anse Boileau,LAVIGNE Michael (Mr),Operational,9,18,Anse Boileau,Mahe,4355050 / 2712100,admin@hibiscus.sc,Small Hotel
Auberge De Nadege,JUDITH Frankline (Mrs),Operational,2,4,Anse Reunion,La Digue,2511653,franklinejudith@yahoo.com,Self Catering
Augerine Small Hotel,SANDAPIN Terry (Mr),Operational,15,30,Beau Vallon,Mahe,4247257/4247251,augerine@seychelles.sc,Small Hotel
Awesome Charlie D Villa,VERLAQUE Roland (Mr),Operational,3,6,Anse kerlans,Praslin,2597779,chiangoman@yahoo.com,Self Catering
B Holiday Apartments,LAMBERT (Mr) & BONNE Daphne (Mrs),Operational,10,20,Beau Vallon,Mahe,2781190/2716005,bholidayseychelles@outlook.com; consulmaldives@seychelles.net,Self Catering
Badamier Enterprise,GOLDBY Bruce Howard (Mr),Operational,1,2,Eden Island,Mahe,4248492/2561808/2507425,eden_p11a14@zoho.com,Self Catering
Badamier Self Catering,AH-KONG Wilby Joseph (Mr),Operational,2,4,Anse Reunion,La Digue,2576930/ 2510242/ 2511007,gahkong@seychelles.net,Self Catering
Bambous River Lodge,POOL Johannes (Mr),Operational,7,14,Beau Vallon,Mahe,2516925/4303828/,brl@seychelles.net,Self Catering
Bay View Villa,BENOITON Mukta (Mrs),Operational,11,22,Petit Barbarons,Mahe,2718191/ 2711133,bayviewvillas@ymail.com,Bed & Breakfast Guesthouse
Beach Cottages,SOLEIL Katrina (Miss),Operational,6,12,Bel Ombre,Mahe,4247861/ 2515547,info@beachcottages.sc,Self Catering
Beach Cove,SOLEIL Hudson (Mr),Operational,4,8,Bel Ombre,Mahe,4247861/2595382,pency@beachcove.sc; info@beachcottages.sc,Self Catering
Beach Villa,WARTELSTEINER Marie-France (Mrs),Operational,9,18,Grand Anse,Praslin,4233445/2527577,beachvilla@email.sc,Guesthouse
BeachKaz (Ex Kaz Majo),"POWELL Marlene, Geline (Mrs)",Operational,3,6,"PO Box 978, Victoria",Mahe,2570481/ 4366022/ 2769857,beachkaz@gmail.com,Self Catering
Beau Bambou Guesthouse,"CONTORET Francois, Gustave (Mr)",Operational,2,4,Mare Anglaise,Mahe,2596748/ 4248050,francois.contoret@gmail.com,Self Catering
Beau Basin Inn Self-Catering,TIRANT Gilbert (Mr),Operational,2,4,Anse Poules Bleu,Mahe,2576234,beaubasininnselfcatering@gmail.com,Self Catering
Beau Sejour Hotel,"SHROFF Guilda, Francoise (Mrs)",Operational,9,18,Curio Road,Mahe,4226144/ 2719964,beausejourhotel_sey@yahoo.com,Small Hotel
Beau Soleil Stunning Seaview,FREEMAN Therese (Mrs),Operational,3,6,La Louise,Mahe,2592393,thir888@yahoo.uk,Self Catering
Beau Vallon Bungalows,MANCIENNE Berquitta (Miss),Operational,12,24,Beau Vallon,Mahe,4247382/ 2515025,bvbung@seychelles.net,Guesthouse
Beau Vallon Residence,"GHISELAIN Aline, Claire (Miss)",Operational,2,4,Beau Vallon,Mahe,2516067/ 4247459,bvresi@hotmail.com,Self Catering
Beau Vallon Villa,"UDWADIA Viraf, Pervez (Mr)",Operational,6,12,Beau Vallon,Mahe,2570911/ 2781911/ 4247705,virafu@yahoo.com,Self Catering
Bedier Villa,"BEDIER Andre, Louis (Mr)",Operational,5,10,Cote d'Or,Praslin,2513840/ 4232192,bedier_son@hotmail.com,Self Catering
Bedier Villa 2,BEDIER Louis (Mr),Operational,8,16,Cote dÓr,Praslin,2513840,bedier_son@hotmail.com,Self Catering
Bel Horizon,MICHAUD Denise (Mrs),Operational,6,12,Glacis,Mahe,2520061/ 4261115,BelhorizonSeychelles@gmail.com,Self Catering
Bel Ombre River Villa,FRANCOURT Jeanne Darc (Mrs),Operational- Undergoing Renovation,4,8,Bel Ombre,Mahe,2561535,jeannebietry@hotmail.fr,Self Catering
Bella Vista Self Catering,ONEZIA Claire (Mrs),Operational,2,4,Glacis,Mahe,2533712/2561769,claire.onezia@hotmail.it,Self Catering
Belle Amie,"CHARLETTE Nella, Mebel (Miss)",Operational,5,10,Anse Reunion,La Digue,2572207/2611228,maybellecharlette@yahoo.com,Self Catering
Belle des Iles,PAYET Donald (Mr),Operational,2,4,Grand Anse,La Digue,4234252/2599031/2635083,info@belledesiles.com,Self Catering
Belle Montagne Holiday,MOREL Roy (Mr),Operational,4,8,Barbarons,Mahe,2812701,roy.m1974@gmail.com,Self Catering
Belle Plage Villa,LARUE Joseph Louis (Mr),Operational,4,8,Grand Anse,Praslin,,seafevercharters@hotmail.com,Self Catering
Belle Vacance,ETHEVE Doris (Mrs),Operational,10,20,Anse kerlans,Praslin,4233980/2811439,bellevacanceseychelles@gmail.com;leopetitvilla.seychelles@gmail.com,Self Catering
Benjamine's Self Catering,PAYET Monica (Miss),Operational,3,6,Anse Reunion,La Digue,2510512/ 2540114,monica.payet@live.com,Self Catering
Berjaya Beau Vallon Bay,CHANG Norazman ( Mr),Operational,232,464,P.O Box 550,Mahe,4287287,norazman.chung@berjayahotel.com,Large Hotel
Berjaya Praslin Beach,CHANG Norazman ( Mr),Operational,74,148,P.O Box 550,Praslin,4286286/ 4232183,norazman.chung@berjayahotel.com; rsvn@berjayahotel.com / Muhammad.saleem@berjayahotel.com,Large Hotel
Bernique Guesthouse,ERNESTA Sylvania (Miss),Operational,5,10,La Passe,La Digue,4234229/2514203,berniqueguesthouse@hotmail.com,Guesthouse
Beryl Guesthouse,"TIRANT Bernadette, Beryl (Miss)",Operational,3,6,La Passe,La Digue,4234381/ 2565571,beryltirant@gmail.com,Guesthouse
Beryl Studio,"UDWADIA Viraf, Pervez (Mr)",Operational,1,2,Beau Vallon,Mahe,2510911/ 2781911,virafu@yahoo.com,Self Catering
Bird Island Lodge,SAVY Nick (Mr),Operational,24,48,P.O Box 1419,Bird Island,4224925/ 4323322,reservations@birdislandseychelles.com; thelodge@birdislandseychelles.com,Small Hotel
Black Parrot,LABUSCHAGNE Bart (Mr),Operational,12,24,Anse Boie de Rose,Praslin,4290555,cocodeme@seychelles.net,Small Hotel
Bliss Hotel,MOREL Mylene ( Mrs),Operational,24,48,Vista Bay,Mahe,4261369/ 4261184/ 2530101,blissresa@bliss-hotel.net,Small Hotel
Bliss Hotel Praslin,WICHMANN Stefanie (Ms),Operational,39,78,Grand Anse Praslin,Praslin,2594374/4233023,OPERATIONPRASLIN@BLISS-HOTEL.NET,Medium Hotel
Blue Hills,CUI Nan (Ms),Operational,8,16,Sans Soucis,Mahe,2543889\ 2826888,lindacuisey@gmail.com,Bed & Breakfast Guesthouse
Blue Horizon Villas,WARD-HORNER Carol (Mrs),Operational,3,6,Point Au Sel,Mahe,2510206/2573055,fabioladeltel@gmail.com,Self Catering
Blue Lagoon,JANKER  F (Mrs),Operational,8,16,Anse La Mouche,Mahe,4371197,blagoon@seychelles.net,Self Catering
Blue Sky Self Catering,ROTHBLETZ Christina (Ms)/LABLACHE Paul (Mr),Operational,2,4,Amitie,Praslin,2799417/2525234,bluesky.selfcatering2021@gmail.com,Self Catering
Bois D'amour,WAYE-HIVE Alvis (Mr),Operational,6,12,Anse Reunion,La Digue,4234490/ 2529290,alvis@boisdamour.de,Self Catering
Bois Joli,JOANNO Richard (Mr),Operational,1,2,Au Cap,Mahe,2718284,judithjoanno7@gmail.com;info@boisjoli.online,Self Catering
Bonnen Kare,FAYON  Julie (Mrs),Operational,4,8,P.O Box 326,Praslin,4322457/ 2510555,photo@seychelles.net,Self Catering
Bord Mer House,MACIENNE Linda (Mrs),Operational,4,8,Beau Vallon,Mahe,2522323/ 2521144/ 4247247,bungalows@seychelles.net,Self Catering
Bord Mer Villa,MANCIENNE Linda (Mrs),Operational,8,16,Beau Vallon,Mahe,2522323/ 2521144/ 4247247,bungalows@seychelles.net,Self Catering
Bougainvillea,MONDON Mary (Mrs),Operational,5,10,Bougainville,Mahe,2524342/ 4371027/ 2799903,bougainvillea_sey@yahoo.com,Self Catering
Bourgeois des Iles,MICHEL Jeanette (Mrs),Operational,4,8,North East Point,Mahe,2520122/2510363,villakoket@seychelles.net,Self Catering
Britannia,LABLACHE Lydia (Mrs),Operational,12,24,Grand Anse,Praslin,4233215/2511959,britania@seychelles.net,Small Hotel
Brown sugar Lodge,ANDRE Keith (Mr),Operational,3,6,Beau vallon,Mahe,2710800/2791933,andrte.kit@gmail.com,Self Catering
Buisson Self Catering,HOAREAU Doris (Mrs),Operational,2,4,La Passe,La Digue,2635959/ 4234610,buissonselfcatering@seychelles.net,Self Catering
Butterfly Villa ex Villa Grand Mer,URANIE Astovio (Mr),Operational,2,4,Anse Kerlans,Praslin,2715701,astoviouranie@gmail.com,Self Catering
Bwaver Cottage,ERNESTA Lindy (Mrs),Operational,3,6,L'union,La Digue,2511015/2571741,bwavercottage@gmail.com,Guesthouse
Cabane Des Anges,ASBA Anania (Ms),Operational,6,12,Anse Reunion,La Digue,2529115/42344112/423113,cabanedesange@seychelles.net,Guesthouse
Café des Arts,PAYET Robert (Mr),Operational,26,52,Anse Volbert,Praslin,4232170/ 4294800,leduc@seychelles.net,Small Hotel
Calm Sorento,MANCIENNE Berguitta (Ms),Operational,6,12,Glacis,Mahe,2515025,calm@seychelles.net,Bed & Breakfast Guesthouse
Calou Guesthouse,JESINGHAUS Wilvina (Mrs),Operational,5,10,La Passe,La Digue,4234083/2512707,chaletsdepalma@gmail.com,Guesthouse
Calypha,BRIOCHE Florianne (Mrs),Operational,6,12,Ma Constance,Mahe,4241157/2725702/2587387,vlaurence@outlook.com;calypha@seychelles.net,Guesthouse
CAM Getaway Villa,BONNE Catheline (Mrs),Operational,2,4,Anse La Blague,Praslin,2524911/2525123,cathelinebonne71@gmail.com,Self Catering
Cap Jean Marie Beach Villa,VOLCERE Iris (Mrs),Operational,3,6,P.O Box 4045,Praslin,4233739,info@capjeanmarie.sc,Self Catering
Cap-sud Self catering,LUCAS Bessy (Mrs),Operational,5,10,Au Cap,Mahe,2529221/4375528/ 2516263,bessylucas@hotmail.com / capsudselfcatering@gmail.com,Self Catering
Captain's Villa,LARUE Flolise (Mr),Operational,9,18,Anse Forbans,Mahe,2515700/2527228,captainsvilla@icloud.com,Bed & Breakfast Guesthouse
Carana Beach Hotel,UZICE Laura (Ms),Operational,40,80,North East Point,Mahe,4383333,info@caranabeach.com,Medium Hotel
Carana Hilltop Villa,MICHAUD Eileen (Mrs),Operational,4,8,Carana Estate,Mahe,2539147 /4241990/ 2781601,reservation@caranahilltopvilla.com,Bed & Breakfast Guesthouse
Carpediem Self Catering Apartment,RENAUD Micheline (Mrs),Operational,3,6,"Hangard Road, Anse Etoile",Mahe,2601117/ 4242005,reservations@carpediem-seychelles.com,Self Catering
Casa de Leela,WIJESI Namal (Mr),Operational,7,14,Anse Reunion,La Digue,4234193/ 2512223/ 4234415,casadeleela@seychelles.sc,Self Catering
Casa D'oro,GOLD Lydia (Mrs),Operational,1,2,Glacis,Mahe,2526901,mona.glacis@gmail.com,Self Catering
Casa Grande,ALLY Didier (Mr),Operational,2,4,Anse Boudin,Praslin,2582180,allydidier@gmail.com,Self Catering
Casa Livingston,POOL Selby (Mr),Operational,2,4,La Passe,La Digue,2831757/2643507,Selbypool@gmail.com; info@casalivingston.com,Self Catering
Casa Tara,"HUNT Anne, Kathleen, Andronique (Mrs)",Operational,6,12,Anse Kerlan,Praslin,2601062/4237242,casa.tara.villas@hotmail.com,Self Catering
Casa Verde,ANDREWS Jacqueline (Mrs),Operational,3,6,St Joseph,Praslin,2569009,bobscheer@yahoo.com; casaverdepraslin@yahoo.com,Self Catering
Casadani,LOIZEAU Lise  (Mrs),Operational,21,42,Bel Ombre,Mahe,4248481/4414036,lloizeau@intelvision.net;louindy@icloud.com,Small Hotel
Casadani Luxury Apartment,LOIZEAU Jacqueline (Ms),Operational,12,24,Amitie,Praslin,4303584/2514742 / 2516608,casadaniluxury@seychelles.net,Bed & Breakfast Guesthouse
Cashew Nut Grove Chalets,MIRANDEL Marie Alexandra (Mrs),Operational,6,12,Grand Anse Mahe,Mahe,2719656/2524465,cashewnutgrove@intelvision.net,Self Catering
Cassa de Bella,POOL Bella (Mrs),Operational,1,2,Petit Barbarons,Mahe,2712617,collettepool@gmail.com,Self Catering
Castaway Lodge,KUMARI Nilanthi (Ms),Operational,6,12,Pte Au Sel,Mahe,2717777/2646693,castaway@seychelles.net,Self Catering
Castaway Villa,BRADLEY Caroline (Mrs),Operational,4,8,Pointe Aux Sel,Mahe,2717777/2519455,castaway@seychelles.net; nila1985k@gmail.com,Self Catering
Castello Beach Hotel,NIBOURETTE Michel (Mr),Operational,26,52,P.O Box 4036,Praslin,4294945/2501470,michel@castellobeachhotel.com; frontdesk@castellobeachhotel.com,Medium Hotel
Casuarina Hills Villas,TIRANT Walter & Lizel (Mr & Mrs),Operational,2,4,Le Niol,Mahe,2540092 / 4266686,Pat.liz.tirant@gmail.com,Self Catering
Cavern Self Catering Apartments,RICHMOND Robin & Christel (Mr & Mrs),Operational,6,12,Baie Ste Anne,Praslin,2511119,info@cavernapartments.com,Self Catering
Cella Villa,"AH-WAN Celia, Maria (Mrs)",Operational,6,12,Santa Maria,Mahe,2514190 / 2371784,Johnahwan52@gmail.com,Self Catering
Cerf Island Resort,VARSANI Foram (Ms),Operational,24,48,P.O Box 1071,Cerf Island,4294500,relax@cerf-resort.com,Small Hotel
Cerf Tropical Sanctuary,PERRIN Jean- Marc (Mr),Operational,7,14,,Cerf Island,2521060/2817757,cerfsanctuary@gmail.com,Self Catering
Chalet Bamboo Vert,POOL Selby (Mr),Operational,10,20,La Passe,La Digue,4234155/2604415/2643507,info@chaletsbamboovert.com; selbypool@gmail.com,Guesthouse
Chalet Bougainville,AGLAE Magaret (Mrs),Operational,3,6,"Hopton Road, Bougainville",Mahe,4372021/2517544,info3@chaletsbougainville.com,Self Catering
Chalet Cote Mer,BURIAN PARMANTIER Beverly (Ms),Operational,20,40,Baie Ste Anne,Praslin,4294200/2501446,ccmer@seychelles.net,Guesthouse
Chalets Anse Possesion,DE CHARMOY LABLACHE Geralda (Mrs),Operational,8,16,Anse Possession,Praslin,4232180/2530013,chesca2207@hotmail.com,Self Catering
Chalets D'Anse Forbans,JUMEAU Daphne (Mrs),Operational,16,32,"P.O Box 3030, Anse Royale",Mahe,4366111,info@forbans.com,Self Catering
Chalets D'Anse Reunion (Ex-Chez Nora),LADOUCEUR Hugues(Mr),Operational,3,6,Anse Reunion,La Digue,2524813,info@chaletdansereunion.com,Self Catering
Chalets de Palma (Ex Birgo Guest House),JASINHAUS Wilvina (Mrs),Operational,8,16,Anse Reunion,La Digue,4234083/ 2585793,calouguesthouse@gmail.com,Guesthouse
Chalets Des Vacances (Ex La Montagne Villa),ARISSOL Mervin (Mr),Operational,6,12,P.O Box 3033,Mahe,4366484/ 2777222,mervinarissol88@gmail.com / info@chaletsdesvacances.com,Self Catering
Charlotte Villa,WHANTS Juanna (Mrs),Operational,4,8,Bougainville,Mahe,2524813,charlottevilla1@gmail.com,Self Catering
Chateau de Feuilles,MOREL Cedric (Mr),Operational,9,18,Pointe Cabris,Praslin,4290000,info@chateaudefeuilles.com,Small Hotel
